Name,Region,Description,Nearest Town,Themes
Balpakram,SOUTH GARO HILLS,"Balpakram, ‘the land of perpetual winds’, may not be well-known to the outside world but it is an important part of Garo folklore. Its unchartered jungles, massive cliffs, and powerful rivers have birthed many stories of the paranormal type, including that of the stalking ‘mandeburung’, or man of the jungle, straight out of the cryptozoologist’s handbook. If these tales don’t inspire you to tread through its forest paths, Balpakram National Park is also a treasure trove of animal and plant life, including the endangered wild water buffalo. Designated as the land of the spirits by local lore, a Balpakram experience blends the natural with the mystical. As you travel along the scenic Garo countryside, watch out for the surprises along the way – including an abundance of pitcher plants, an insectivorous enigma that will interest any botanist. The mighty Simsang River defines the landscape. On the plateau-top, you will get expansive views of the National Park’s main canyon and the many waterfalls that barrage down from the cliff-side. Despite its comparatively small size, Balpakram is considered the last stand of the rarest plant and animal species not found anywhere else. During winters, you can enjoy sightings of animals like elephants and it is also the time for ground orchids to bloom.","Baghmara (60 kms),  Williamnagar (127 kms)","Hiking, Trekking, Wildlife, Folklore, Landscapes"
Chandigre Rural Village,WEST GARO HILLS,"Chandigre embraces you with its orchards and plantations – offering visitors a glimpse into the lives of the Garos. It is a place where you can spend all day strolling around on paths lined by lush vegetation, vivid flower beds, and fruit trees. A major highlight here is the local architecture, where visitors get to stay. The Garos build their living spaces using natural fibres and materials. Wander around Chandigre and explore the details of the traditional houses, known as Nok Achik in the local language. The Nok Pante is a dormitory and staying here is an essential rite of passage for young Garo males. The rice wine of the Garos, bitchi, is famous for its taste and rousing qualities – you can observe the brewery at Chandigre, known as the Chu Nok. You can also enjoy the local cuisine which is fresh and organic. Those who want to explore the pristine, wild spaces of the Nokrek Biosphere Reserve will relish setting up camp at Chandigre and it is also very close to the Hoolock Gibbon sanctuary in Selbagre. Another attraction here is Rombagre, famous for its waterfall and fish sanctuary.",Tura (30 Kms),"Culture, Sight Seeing, Cuisine"
Nokrek Biosphere Reserve,WEST GARO HILLS,"Let the wildest corners of Meghalaya embrace you at Nokrek, a land of myths and wild beasts. Designated a biosphere reserve in 2009, Nokrek encapsulates the allure of the Garo Hills and The Daribokgre Trek is one of the best ways to soak in this untamed beauty. At the beginning of this 16-km route, you will first traverse through the lush countryside dotted with thick groves, plantations, and tidy villages before entering the pristine forest. Nokrek is also the highest point in the Garo Hills you will be guaranteed some panoramic views of the surrounding ranges as you continue your journey on this vivid trail. A place of interest on the fringes of the reserve is Chandigre Village, which includes a small resort featuring traditional huts. The village is surrounded by tea gardens and coffee plantations and is an ideal place for those who want to sample a slice of the Garo lifestyle. Chandigre is a good base to explore Nokrek. The nearby Rongbang Dare waterfalls provide an impressive sight. Nokrek is the best place to catch glimpses of the wonderful Hoolock gibbon, a primate found in these ranges. Their incredible calls resonate from the canopies and provide a primaeval soundtrack to your excursion. Some of the largest Asiatic elephant herds in the country roam about this biosphere reserve and Nokrek is also home to the planet’s oldest citrus fruit species.",Tura (45 Kms),"Nature, Outdoors, Camping, Trekking, Photography, Wildlife"
Tura Peak,West Garo Hills,"At close to 900 metres above sea level, Tura Peak is a haven for nature lovers and those interested in bird watching and photography. The hills around Tura are thriving with life – species like hornbills and gibbons are just some of the many treasures of this diverse and rich landscape. A trip to Tura Peak brings you up close to the beauty, as you climb up to one of the highest points in the district. There are multiple routes that lead to Tura Peak. Early morning hikes are recommended as you can then listen to the orchestra of the forest in full flow – the chirping of myriad birds backed up by the hoots of the mysterious Hoolock gibbons. Carry binoculars for animal sightings along with lots of water. Add more experiences to your Garo Hills trip.",Tura (4 kms),"Nature, Sightseeing, Treks and Hikes"
Siju Caves and Rock Formations,West Garo Hills,"Visiting Siju Cave is like entering the belly of the earth, a place of unique visuals and formations that will capture anyone’s imagination. Siju cave’s full extent has not been mapped but we already know it is one of the longest cave systems in the world. The State Department of tourism runs a tourist lodge at Siju set amidst leafy surroundings, a perfect base as you explore the cave and the adjacent places of interest. If you are interested in an in-depth exploration of the cave with the proper gear and guidance, the Meghalaya Adventurers Association organizes caving trips.",Baghmara (33Kms),"Nature Walks, Hikes, Caving"
Dawki - Shnongdeng,WEST JAINTIA HILLS,"Dawki is a border town in the south of Meghalaya and a great base to explore nearby Shnongpdeng and Darrang – famous riverside camps. You will witness a blend of cultures and changing topography as the hills merge into the plains of Northern Bangladesh. Some of the evening scenery here is stunning as you watch the lights glow above the neighbouring plains over the gentle, dark river. Camping, swimming, and fishing are some of the fun outdoor activities in Shnongpdeng. You can indulge in one of the most thrilling ziplines and rappel down one of the many striking rock formations that line up the Umngot.",Dawki,"Boating, Water Adventure, Trails, Camping"
Krangshuri Falls,West Jaintia Hills,"
Compared to the cliff-hugging plunge falls that you will find in Southern Meghalaya, the Krangshuri waterfall features a different aesthetic. A placid river suddenly drops, creating a curtain of flowing water that falls over a cave. From afar, Krangsuri is a sight that will make you think of the Jungle Book. During the summer, blue, clear waters can be seen at the bottom of the waterfalls which itself is located in the middles of a thickly forested area. The walk down to Krangshuri is a pleasant descent – you begin on an open meadow and slowly climb down into more defined shrub and vegetation. There are railings around the falls where you can get a good view and you can also inquire about the boating facilities there. Upstream is a small space where people can camp, surrounded by lush green vegetation and with the gentle ripple of the river for company. On calm sunny days, you can enjoy a dip in the pool of the waterfall after renting life jackets. Shutterbugs will certainly enjoy strolling around the surrounding hills looking for a vantage point, of which there are many. Just make sure you watch your step and wear footwear with good grip as the rocks around the water can be slippery.",Amlarem (1km),"Nature, Sightseeing, Boating"
Kudengrim,West Jaintia Hills,"The highway roads flanked by paddy fields and pine-crested hillocks give way to steep slopes as one descends into Kudengrim, a cosy village perched in the Jaintia Hills. There are some quintessential Meghalayan sights and experiences on offer – with knowledgeable and friendly residents always there to guide you. Kudengrim’s first main attraction is a twenty-minute hike from the main village. Make your way through a tranquil forest and tread under a dense canopy before you reach a magnificent wide-brimmed, segmented waterfall, the scene straight out of an adventure movie. Close to the cascade is a fascinating example of Meghalaya’s famous living architecture – the Kudengrim Living Root Bridge. Admire the two-levelled bridge, created by weaving the roots of the Ficus Elastica trees, the giant guardians of the forests here. 
As you follow the course of the stream, you will encounter another beautiful waterfall, flowing like a curtain over the natural granite walls. Prepare to get a little wet as you negotiate bamboo paths and stream crossings to reach the Mukhre Step Falls, to complete the trio of waterfalls on this scenic hike. Catch some nice views from the bamboo skywalk and canopy hut. There is a lot of walking involved for those who seek the complete Kudengrim experience so make sure that you are equipped with the right footwear and apparel. We always recommend visitors look for homestay options in the village itself so they can rest easy and enjoy the heavenly surroundings more.","Amlarem (23 kms), Jowai (52 kms)","Hiking, Waterfalls, Living Root Bridge, Scenery"
Ialong & Syntu Ksiar,West Jaintia Hills,"Located a few kilometres from the town of Jowai, Ialong is a serene getaway that offers visitors some soothing views of the Myntdu River. It is also the site of a sacred grove, giving curious visitors a glimpse into the symbiotic relationship between the people and nature. Take a pleasurable walk in Ialong eco-park, neatly maintained and featuring various trees and plant species. The eco-park also has a section where you can get panoramic views of the river valley. The paddy fields of Ialong are fed by the Myntdu and their different shades of green provide a palette for keen photographers. Ialong is where the ‘noh sakyriet’ dance is held. Performers hold on to opposing ends of a wooden pole (a smoothened tree trunk) suspended perpendicularly on another pole that has been driven to the ground. The ‘noh sakyriet’ dance has no peer in terms of the visuals – resembling the rotating rotors of a helicopter or a merry-go-round. Another fascinating fact about the dance is that it is held only in Ialong. The highway to Ialong is filled with scenic stops and traditional culinary experiences. As is the norm with travel in Meghalaya, make sure you stop at the local stalls and try out some Jaintia snacks with your red tea! We always recommend visitors in Meghalaya to spend more time wherever they go – staying options in Ialong include the Travellers’ Nest lodges designed according to vernacular styles and run by the community. When you are travelling around Jowai, there are a few more nearby sights you should not miss. One striking example is Syntu Ksiar, a picnic spot by the Myntdu where you can visit the Kiang Nong Bah Memorial, dedicated to the most revered Jaintia freedom fighter. Syntu Ksiar is just 11 kms south of Ialong, on the other side of Jowai town. Other Jowai attractions are Tyrshi Falls and Thadlaskein Lake.",Jowai (7 kms),"Sacred Grove, Culture, Scenery"
Nartiang Monoliths,West Jaintia Hills,"The Jaintia districts of Meghalaya have a distinct royal history and Nartiang is one of the best places to see well-preserved remnants from this glorious chapter. The garden of monoliths features a collection of large monoliths that were erected as monuments for the old kings. There is a small winding path that twists through and around the looming monoliths, providing a chance for you to explore and soak in the surreal scenes. You will also get decent views of the town from this heritage site. Some of these stones were erected half a millennia ago and additions were made till the middle of the nineteenth century. The monoliths provide a captivating sight – arguably the largest collection of monoliths in a single place and loaded with so much historical and cultural significance. The standing monoliths or menhirs are dedicated to the male ancestors while the flat ones, the dolmens, are dedicated to the women. Nartiang is a treasure trove of history and another major landmark here is the Durga temple, which is close to the monoliths. According to Hindu beliefs, the Nartiang temple is one of the 51 Shakti Peethas. The existing temple is built on a site of an older one and here are stored iron canons that were used in wars by the old Jaintia kings. An interesting fact – the Nartiang temple was a site for human sacrifice in the earlier days. And of course, when in Nartiang, dig into the delicious Pnar cuisine in the local eateries. From various rice preparations to unique meat dishes, there is a lot to savour.",Jowai (27 kms),"History, Religion, Culture"
